technical_name,business_name,status,products,rb_datasets,api_feeds,definition
cons_item_nbr,Consumer Item Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"A Consumer Item is an item that can be sold at the retail level as a single unit to the consumer. It specifically addresses those instances where there are multiple item numbers created for a single Consumer Item. This occurs when there are different replenishment methods, vendors, costs and when the same merchandise is sold in multiple departments. Any one of the item numbers may be used to replenish the Consumer Item. Once it is sent to the store it will become the number that will always serve as the store reference. This is the new number that will be printed on shelf labels. This column is optional and not part of any hierarchy."
consumer_id,Consumer ID,APPROVED,13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;future_valid_item_store;hourly_store_inventory;modular_plan_metrics;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,,"This is a Walmart-generated item number that is used specifically for forecasting purposes. Forecasts are generated at the Consumer ID (or 'CID') level. Multiple item numbers from multiple suppliers can be mapped to the same Consumer ID. This is frequently used in Produce, where a single forecast may be generated for limes (for example), but multiple suppliers supply the limes. In this scenario, each of the suppliers has a unique Walmart Item Number, but they all share the same Consumer ID for limes. Orders are generated at the Walmart Item Number level. This is not limited to Produce, but is also frequently seen in Private Label items across the total box, plus other item setups as well."
convey_ind,Conveyable Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,This indicates (Y/N) if the warehouse pack of an item may be put on a conveyor in the warehouse.
coop_bill_qty,Coop Bill Quantity,APPROVED,9:API Glossary,,coops,The number of times that this co-op agreement should be billed to the supplier. This is used only for multi-scheduling billings.
cost_amt,Cost Amount,APPROVED,9:API Glossary,,mtr,The dollar and cents cost of the item.
cost_amt,MTR Received Cost Amount,APPROVED,13:Report Builder,store_sales_&amp,,It is the dollar and cents amount of the cost of the item for transaction type 3 (Merchandise Transfer Report Received).
cost_amt,MTR Transferred Cost Amount,APPROVED,13:Report Builder,store_sales_&amp,,It is the dollar and cents amount of the cost of the item for the transaction type 5 (Return Center Claim or Merchandise Trans).
cost_sales,Cost Sales,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_sales,omni_sales;omni_sales_new,"Owned, DSV (Drop Ship Vendor) or store product cost net of cancellations. This is for eComm only, store is Null"
costco_og_ind,Costco Online Grocery,APPROVED,2:Customer Perception,,,Self-identification by the panelist that they have used Costco Online Grocery.
cpsc_cert_ind,CPSC Certificate Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,ecomm_inventory;ecomm_sales;omni_sales,product_dimensions,Indicates if the item has been certified by the consumer product safety commission.
cr_ofc_id,Create Office ID,APPROVED,13:Report Builder,purchase_order,,This identifies the sourcing office responsible for coordinating work between the supplier and appropriate Home Office.
cr_ofc_id,Credit Office Id,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,oms_po_details;purchase_order,This identifies the sourcing office responsible for coordinating work between the supplier and appropriate Home Office.
create_rsn_cd,Create Reason Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order;purchase_order_line,"Identifies the reasons for creations or changes to the purchase order (PO).-Inaccurate Forecast-Store/Club Demand Change-Supplier Negotiated Change (ex: cost, pack, terms)-Business Decision-Recall-Withdrawal-Supplier Capacity Issue (supplier responsible)-Supplier Requested Change-Hurricane-Flooding-Tornado-Fire-Earthquake-Substitute Item Received-Incorrect Item Received-Incorrect Initial Distribution-Impact Store/Club-Supplier Uncontrollable (Supplier Reimbursement Charge not applied)-Walmart/Sam’s Approved"
create_rsn_desc,Create Reason Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,"This is the description for the Create Reason Code. Identifies the reasons for creations or changes to the purchase order (PO).-Inaccurate Forecast-Store/Club Demand Change-Supplier Negotiated Change (ex: cost, pack, terms)-Business Decision-Recall-Withdrawal-Supplier Capacity Issue (supplier responsible)-Supplier Requested Change-Hurricane-Flooding-Tornado-Fire-Earthquake-Substitute Item Received-Incorrect Item Received-Incorrect Initial Distribution-Impact Store/Club-Supplier Uncontrollable (Supplier Reimbursement Charge not applied)-Walmart/Sam’s Approved"
create_sys_id,Create System ID,APPROVED,3:Cloud Feeds;9:API Glossary,,purchase_order;purchase_order_line,Originator of the order well record. Replenishment populated if systematic.
crncy_cd,Currency Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;purchase_order;store_sales_&amp,dc_item_measures;inventory_adjustments;mumd;oms_po_details;purchase_order_dc_receiver_line;purchase_order_line;purchase_order_line_destination;store_inventory;store_item_measures;store_item_measures_(inventory);store_returns,"ISO 4217 ALPHA3 CODE for the identification of currency. Hardcode ""USD""."
crush_fctr_cd,Crush Factor Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,This is a one-character alpha code that represents how prone an item is to being crushed. Examples:1 - strongest case (stack on bottom) 2 - less strong (do not stack on bottom) 3 - least strong (stack on top)
crush_fctr_desc,Crush Factor Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,Description for the a one-character alpha code that represents how prone an item is to being crushed. Examples:1 - strongest case (stack on bottom) 2 - less strong (do not stack on bottom) 3 - least strong (stack on top)
