technical_name,business_name,status,products,rb_datasets,api_feeds,definition
,Session with Add to Cart Count,APPROVED,6:Digital Landscapes,,,"The share of sessions with add-to-carts of the specified product/brand compared to the total number of sessions with add-to-carts of all products in the Walmart category it belongs to. % of sessions where the product was added to cart/ total sessions where all products were added to cart for the category COUNT(DISTINCT CASE WHEN a2c_ind > 0 AND cntxt_nm != ""scanAndGo"" THEN sessn_id END)The share of sessions with add-to-carts of the specified product/brand compared to the total number of sessions with add-to-carts of all products in the Walmart category it belongs to.% of sessions where the product was added to cart/ total sessions where all products were added to cart for the category"
,Session with Add to Cart from PDP Count,APPROVED,6:Digital Landscapes,,,COUNT(DISTINCT CASE WHEN dca.cntxt_nm = 'productPage' AND dca.a2c_ind = 1 AND pdp.pageview_id = dca.pageview_id AND pdp.catlg_item_id = dca.catlg_item_id THEN dca.sessn_id END)The share of sessions with add to carts originating from product description page.
,Session with Add to Cart from non PDP Count,APPROVED,6:Digital Landscapes,,,"sessn_a2c_cnt - sessn_a2c_frm_pdp_vw_cntThe share of sessions with add to carts originating from non-PDP(Product Detail Page) sources (carousels, product views page, etc."
,Session with Impression Count,APPROVED,6:Digital Landscapes,,,COUNT(DISTINCT CASE WHEN impression_ind = 'product_impressions' OR item_page_ind > 0 THEN dca.sessn_id END)The share of sessions with add to carts originating from an impression
,Session with PDP Count,APPROVED,6:Digital Landscapes,,,The share of sessions with PDP views of the specified product/brand compared to the total number of sessions with PDP views of all products in the Walmart category it belongs to. % of sessions where the product was viewed/ total sessions where all products were viewed for the category COUNT(DISTINCT CASE WHEN item_page_ind > 0 THEN sessn_id END)The share of sessions with Product Detail Page (PDP) views of the specified product/brand compared to the total number of sessions with PDP views of all products in the Walmart category it belongs to.% of sessions where the product was viewed/ total sessions where all products were viewed for the category
,Session with Product View Count,APPROVED,6:Digital Landscapes,,,COUNT(DISTINCT CASE WHEN impression_ind = 'product_impressions' OR item_page_ind > 0 THEN dca.sessn_id END)The rate at which a session with a product view occurs.
,Session with Purchase Count,APPROVED,6:Digital Landscapes,,,"The share of sessions with a purchase of the specified product/brand compared to the total number of sessions with a purchase of all products in the Walmart category it belongs to. % of sessions where the product was purchased/ total sessions where all products were purchased for the category COUNT(DISTINCT CASE WHEN cntxt_nm in (""checkout"",""buyNow"") and actn_catg_nm = ""pageView"" and lower(page_nm) like (%thankyou%) THEN sessn_id END)The share of sessions with a purchase of the specified product/brand compared to the total number of sessions with a purchase of all products in the Walmart category it belongs to.% of sessions where the product was purchased/ total sessions where all products were purchased for the category."
,Session with Purchase from Add to Cart Count,APPROVED,6:Digital Landscapes,,,COUNT(DISTINCT CASE WHEN dca.cntxt_nm = 'checkout' AND dca.actn_catg_nm = 'pageView' AND lower(dca.page_nm) like '%thankyou%' THEN dca.sessn_id end)The rate at which a session with a product view converts into a session with a purchase of that product from the cart.
,Session with Purchase from non Add to Cart Count,APPROVED,6:Digital Landscapes,,,sessn_purchs_cnt - sessn_purchs_frm_a2c_cntThe rate at which a session with a product view converts into a session with a purchase of that product from buynow features
,Sessions to Purchase (Average),APPROVED,6:Digital Landscapes,,,Number of sessions it takes from when the specified product was added to cart for the first time until the same product was purchased (within a 7-day timeframe).Number of sessions it takes from when the specified product was added to cart for the first time until the same product was purchased (within a 7-day timeframe).
,Shelf Cap Qty,APPROVED,8:Modular Intelligence,,,Quantity of a particular item in a section as per active modular plan
,Shelf Health,APPROVED,8:Modular Intelligence,,,"Composite metric (lying between 0-100) to indicate the quality of a category in Walmart Shelves in terms of Mod Compliance, Complete Shelf unavailability, Partial Shelf availability and Price Tag availability. Higher Shelf Health indicates well stocked and compliant shelves.Shelf Health is grouped into the below buckets based on its value:• >=75: Acceptable• <75 & >=55: Needs Attention• < 55: Poor"
,Shopper User Persona,APPROVED,5:BI Link;9:API Glossary,,upc_custom_attribution,Allows users to identify if the custom attribution for a UPC belongs to the Supplier or to the Category Advisor.
,Showreel,APPROVED,2:Customer Perception,,,"A compilation of customer video feedback, showcased in a highlight reel."
,Start Date,APPROVED,2:Customer Perception,,,Project Expected Start Date
,Statistical Significance Testing,APPROVED,2:Customer Perception,,,The Compare feature includes the ability to apply Statistical Testing on relevant quantitative question types. Statistical significance measures the likelihood that a relationship exists between two or more variables.
,Store Inventory,APPROVED,8:Modular Intelligence,,,Quantity of item in the sales floor
,Strike Zone,APPROVED,8:Modular Intelligence,,,"Shelves between the eye and waist level of the customer, where high-value items are usually placed"
